id;kecamatan_id;kode;nama;;;;
156;3;3207032007;Pamalayan;3207150007;Pamalayan;;
157;19;3207192001;Pamarican;3207120004;Pamarican;;
158;6;3207062010;Pamokolan;3207230011;Pamokolan;;
159;2;3207022011;Panaragan;3207220001;Panaragan;;
160;10;3207102001;Panawangan;3207270004;Panawangan;;
161;8;3207082001;Panjalu;3207290006;Panjalu;;
162;7;3207072002;Panumbangan;3207300002;Panumbangan;;
163;1;3207012012;Panyingkiran;3207210005;Panyingkiran;;
164;27;3207372001;Pasawahan;3207100006;Pasawahan;;
165;26;3207352007;Pasirlawang;3207111003;Pasirlawang;;
166;19;3207192013;Pasirnagara;3207120013;Pasirnagara;;
167;6;3207062008;Pasirtamiang;3207230009;Pasirtamiang;;
168;15;3207152007;Patakaharja;3207180009;Patakaharja;;
169;1;3207012008;Pawindan;3207210006;Pawindan;;
170;7;3207072007;Payungagung;3207300012;Payungagung;;
171;7;3207072009;Payungsari;3207300011;Payungsari;;
172;23;3207322005;Petirhilir;3207211005;Petirhilir;;
173;17;3207172019;Puloerang;3207110002;Puloerang;;
174;26;3207352002;Purwadadi;3207111004;Purwadadi;;
175;26;3207352003;Purwajaya;3207111005;Purwajaya;;
176;13;3207132011;Purwaraja;3207190007;Purwaraja;;
177;9;3207092013;Purwasari;3207280009;Purwasari;;
178;18;3207182014;Purwasari;3207100017;Purwasari;;
179;23;3207322006;Pusakanagara;3207211006;Pusakanagara;;
180;11;3207112009;Pusakasari;3207250004;Pusakasari;;
181;13;3207132001;Rajadesa;3207190004;Rajadesa;;
182;20;3207292003;Raksabaya;3207140002;Raksabaya;;
183;15;3207152001;Rancah;3207180007;Rancah;;
184;18;3207182015;Ratawangi;3207100019;Ratawangi;;
185;25;3207342007;Rawa;3207281007;Rawa;;
186;4;3207042002;Sadananya;3207240006;Sadananya;;
187;10;3207102009;Sadapaingan;3207270012;Sadapaingan;;
188;25;3207342008;Sadewata;3207281008;Sadewata;;
189;10;3207102002;Sagalaherang;3207270005;Sagalaherang;;
190;23;3207322004;Saguling;3207211003;Saguling;;
191;14;3207142002;Salakaria;3207200006;Salakaria;;
192;8;3207082004;Sandingtaman;3207290004;Sandingtaman;;
193;11;3207112002;Selacai;3207250011;Selacai;;
194;11;3207112011;Selamanik;3207250010;Selamanik;;
195;9;3207092016;Selasari;3207280006;Selasari;;
196;17;3207172006;Sidaharja;3207110006;Sidaharja;;
197;19;3207192012;Sidaharja;3207120009;Sidaharja;;
198;19;3207192002;Sidamulih;3207120001;Sidamulih;;
199;21;3207302002;Sidamulya;3207160002;Sidamulya;;
200;26;3207352005;Sidarahayu;3207111006;Sidarahayu;;
201;17;3207172012;Sindangangin;3207110001;Sindangangin;;
202;18;3207182010;Sindangasih;3207100016;Sindangasih;;
203;7;3207072013;Sindangbarang;3207300013;Sindangbarang;;
204;18;3207182009;Sindanghayu;3207100015;Sindanghayu;;
205;7;3207072005;Sindangherang;3207300007;Sindangherang;;
206;22;3207312001;Sindangkasih;3207221006;Sindangkasih;;
207;24;3207332004;Sindanglaya;3207291004;Sindanglaya;;
208;7;3207072012;Sindangmukti;3207300008;Sindangmukti;;
209;1;3207011007;Sindangrasa;3207210004;Sindangrasa;;
210;27;3207372006;Sindangrasa;3207100008;Sindangrasa;;
211;2;3207022003;Sindangsari;3207220007;Sindangsari;;
212;9;3207092014;Sindangsari;3207280001;Sindangsari;;
213;18;3207182012;Sindangsari;3207100014;Sindangsari;;
214;13;3207132009;Sirnabaya;3207190005;Sirnabaya;;
215;13;3207132010;Sirnajaya;3207190006;Sirnajaya;;
216;15;3207152005;Situmandala;3207180008;Situmandala;;
217;14;3207142001;Sukadana;3207200005;Sukadana;;
218;6;3207062011;Sukahaji;3207230002;Sukahaji;;
219;13;3207132006;Sukaharja;3207190009;Sukaharja;;
220;6;3207062002;Sukahurip;3207230003;Sukahurip;;
221;19;3207192010;Sukahurip;3207120005;Sukahurip;;
222;21;3207302005;Sukahurip;3207160008;Sukahurip;;
223;4;3207042007;Sukajadi;3207240002;Sukajadi;;
224;19;3207192011;Sukajadi;3207120007;Sukajadi;;
225;13;3207132007;Sukajaya;3207190011;Sukajaya;;
226;19;3207192009;Sukajaya;3207120011;Sukajaya;;
227;7;3207072003;Sukakerta;3207300005;Sukakerta;;
228;6;3207062004;Sukamaju;3207230004;Sukamaju;;
229;23;3207322002;Sukamaju;3207211001;Sukamaju;;
230;22;3207312006;Sukamanah;3207221001;Sukamanah;;
231;24;3207332001;Sukamantri;3207291002;Sukamantri;;
232;19;3207192004;Sukamukti;3207120008;Sukamukti;;
233;6;3207062001;Sukamulya;3207230001;Sukamulya;;
234;23;3207322009;Sukamulya;3207211009;Sukamulya;;
235;26;3207352009;Sukamulya;3207111008;Sukamulya;;
236;12;3207122002;Sukanagara;3207260005;Sukanagara;;
237;17;3207172009;Sukanagara;3207110004;Sukanagara;;
238;25;3207342002;Sukaraharja;3207090004;Sukanagara;;
239;22;3207312005;Sukaraja;3207221002;Sukaraja;;
240;22;3207312008;Sukaresik;3207221008;Sukaresik;;
241;5;3207052006;Sukasari;3207130006;Sukasari;;
242;16;3207162005;Sukasari;3207170005;Sukasari;;
243;18;3207182018;Sukasari;3207100009;Sukasari;;
244;22;3207312007;Sukasenang;3207221007;Sukasenang;;
245;6;3207062005;Sukasetia;3207230006;Sukasetia;;
246;11;3207112013;Sukawening;3207250006;Sukawening;;
247;6;3207062006;Sumberjaya;3207230007;Sumberjaya;;
248;9;3207092002;Talagasari;3207280005;Talagasari;;
249;17;3207172013;Tambakreja;3207110009;Tambakreja;;
250;16;3207162001;Tambaksari;3207170001;Tambaksari;;
251;13;3207132004;Tanjungjaya;3207190003;Tanjungjaya;;
252;21;3207302007;Tanjungjaya;3207160007;Tanjungjaya;;
253;7;3207072008;Tanjungmulya;3207300003;Tanjungmulya;;
254;4;3207042005;Tanjungsari;3207240007;Tanjungsari;;
255;13;3207132003;Tanjungsari;3207190002;Tanjungsari;;
256;27;3207372010;Tanjungsari;;;;
257;13;3207132002;Tanjungsukur;3207190001;Tanjungsukur;;
258;24;3207332002;Tenggerraharja;3207291001;Tenggerraharja;;
259;13;3207132008;Tigaherang;3207190010;Tigaherang;;
260;3;3207032009;Utama;3207150009;Utama;;
261;22;3207312009;Wanasigra;3207221009;Wanasigra;;
262;21;3207302004;Wangunjaya;3207160006;Wangunjaya;;
263;15;3207152013;Wangunsari;3207180013;Wangunsari;;
264;4;3207042003;Werasari;3207240003;Werasari;;
265;9;3207092005;Winduraja;3207280008;Winduraja;;
